,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
How to Lose a Guy in 10 Days,/title/tt0251127/?ref_=bo_cso_table_76,676,How to Lose a Guy in 10 Days,"$105,813,373",2003,23774850,245000000,105813373,71689014,177502387,116.0,PG-13,February,"['Comedy', 'Romance']"
The LEGO Movie 2: The Second Part,/title/tt3513498/?ref_=bo_cso_table_77,677,The LEGO Movie 2: The Second Part,"$105,806,508",2019,34115335,245000000,105806508,86500000,192306508,107.0,PG,February,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']"
The First Wives Club,/title/tt0116313/?ref_=bo_cso_table_78,678,The First Wives Club,"$105,489,203",1996,18913411,245000000,105489203,76000000,181489203,103.0,PG,September,['Comedy']
Robin Hood,/title/tt0955308/?ref_=bo_cso_table_79,679,Robin Hood,"$105,269,730",2010,36063385,245000000,105269730,216400011,321669741,140.0,PG-13,May,"['Action', 'Adventure', 'Drama', 'History']"
Interview with the Vampire: The Vampire Chronicles,/title/tt0110148/?ref_=bo_cso_table_80,680,Interview with the Vampire: The Vampire Chronicles,"$105,264,608",1994,36389705,245000000,105264608,118400000,223664608,123.0,R,November,"['Drama', 'Horror']"
George of the Jungle,/title/tt0119190/?ref_=bo_cso_table_81,681,George of the Jungle,"$105,263,257",1997,16540791,245000000,105263257,69200000,174463257,92.0,PG,July,"['Action', 'Adventure', 'Comedy', 'Family', 'Romance']"
Hustlers,/title/tt5503686/?ref_=bo_cso_table_82,682,Hustlers,"$104,963,598",2019,33181361,245000000,104963598,52600000,157563598,110.0,R,September,"['Comedy', 'Crime', 'Drama']"
The Graduate,/title/tt0061722/?ref_=bo_cso_table_83,683,The Graduate,"$104,945,305",1967,0,245000000,104945305,69703,105015008,106.0,PG,December,"['Comedy', 'Drama', 'Romance']"
Pitch Perfect 3,/title/tt4765284/?ref_=bo_cso_table_84,684,Pitch Perfect 3,"$104,897,530",2017,19928525,245000000,104897530,80502815,185400345,93.0,PG-13,December,"['Comedy', 'Music']"
Phenomenon,/title/tt0117333/?ref_=bo_cso_table_85,685,Phenomenon,"$104,636,382",1996,16158901,245000000,104636382,47400000,152036382,123.0,PG,July,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']"
American Wedding,/title/tt0328828/?ref_=bo_cso_table_86,686,American Wedding,"$104,565,114",2003,33369440,245000000,104565114,128157821,232722935,96.0,R,August,['Comedy']
Road to Perdition,/title/tt0257044/?ref_=bo_cso_table_87,687,Road to Perdition,"$104,454,762",2002,22079481,245000000,104454762,76546716,181001478,117.0,R,July,"['Crime', 'Drama', 'Thriller']"
The Princess and the Frog,/title/tt0780521/?ref_=bo_cso_table_88,688,The Princess and the Frog,"$104,400,899",2009,786190,245000000,104400899,162644866,267045765,97.0,,November,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
